,Unnamed: 0,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
0,0,Franck Ribéry ,39, AM(CL),FW,18(4),1643,10,10,2.7,2.5,5.5,8.28,0.0
1,2,Robert Lewandowski ,34, FW,,31(2),2807,20,6,3.5,1.9,3.1,8.0,0.0
2,3,Roberto Firmino ,31, M(CLR),FW,33,2916,16,11,2.8,2.1,4.5,7.94,0.0
3,4,Marco Reus ,33, M(CLR),FW,26(4),2221,16,13,3.7,3.0,2.7,7.91,0.0
4,5,Raffael ,37, AM(CL),FW,34,2999,15,7,2.2,1.9,4.9,7.91,0.0
5,7,Max Kruse ,34, M(CLR),FW,34,3021,12,9,2.2,2.9,3.8,7.88,0.0
6,9,Adrián Ramos ,36, FW,,30(2),2665,16,5,2.9,1.5,2.6,7.75,6.85
7,11,Mario Götze ,30, M(CLR),FW,20(7),1830,10,8,1.9,1.4,3.6,7.72,7.0
8,13,Kevin De Bruyne ,31, M(CLR),FW,16,1420,3,6,2.1,3.1,4.0,7.71,7.85
9,14,Stefan Kießling ,38, FW,,30(2),2679,15,3,2.6,1.2,1.2,7.7,0.0
10,15,Jefferson Farfán ,38, M(CR),FW,17(2),1524,9,5,1.5,2.4,2.9,7.7,0.0
11,16,Julian Draxler ,29, AM(CLR),FW,25(1),2154,2,6,1.8,2.3,4.1,7.69,6.27
12,17,Arjen Robben ,38, M(CLR),FW,20(8),1705,11,6,2.7,1.8,3.0,7.62,8.37
13,18,Henrikh Mkhitaryan ,33, M(CLR),FW,29(2),2454,9,10,2.3,1.6,2.9,7.59,0.0
14,20,Pierre-Michel Lasogga ,30, FW,,18(2),1491,13,1,3.6,0.6,1.4,7.54,0.0
15,25,Mario Mandzukic ,36, M(L),FW,21(9),2028,18,4,2.5,1.0,0.7,7.5,7.8
16,30,Klaas Jan Huntelaar ,39, FW,,17(1),1463,12,0,3.1,0.5,1.5,7.45,6.44
17,32,André Hahn ,32, AM(CLR),FW,30(2),2736,12,7,2.9,1.1,0.9,7.43,0.0
